Celsius,Fahrenheit
-150,-238.00
-149,-236.20
-148,-234.40
-147,-232.60
-146,-230.80
-145,-229.00
-144,-227.20
-143,-225.40
-142,-223.60
-141,-221.80
-140,-220.00
-139,-218.20
-138,-216.40
-137,-214.60
-136,-212.80
-135,-211.00
-134,-209.20
-133,-207.40
-132,-205.60
-131,-203.80
-130,-202.00
-129,-200.20
-128,-198.40
-127,-196.60
-126,-194.80
-125,-193.00
-124,-191.20
-123,-189.40
-122,-187.60
-121,-185.80
-120,-184.00
-119,-182.20
-118,-180.40
-117,-178.60
-116,-176.80
-115,-175.00
-114,-173.20
-113,-171.40
-112,-169.60
-111,-167.80
-110,-166.00
-109,-164.20
-108,-162.40
-107,-160.60
-106,-158.80
-105,-157.00
-104,-155.20
-103,-153.40
-102,-151.60
-101,-149.80
-100,-148.00
-99,-146.20
-98,-144.40
-97,-142.60
-96,-140.80
-95,-139.00
-94,-137.20
-93,-135.40
-92,-133.60
-91,-131.80
-90,-130.00
-89,-128.20
-88,-126.40
-87,-124.60
-86,-122.80
-85,-121.00
-84,-119.20
-83,-117.40
-82,-115.60
-81,-113.80
-80,-112.00
-79,-110.20
-78,-108.40
-77,-106.60
-76,-104.80
-75,-103.00
-74,-101.20
-73,-99.40
-72,-97.60
-71,-95.80
-70,-94.00
-69,-92.20
-68,-90.40
-67,-88.60
-66,-86.80
-65,-85.00
-64,-83.20
-63,-81.40
-62,-79.60
-61,-77.80
-60,-76.00
-59,-74.20
-58,-72.40
-57,-70.60
-56,-68.80
-55,-67.00
-54,-65.20
-53,-63.40
-52,-61.60
-51,-59.80
-50,-58.00
-49,-56.20
-48,-54.40
-47,-52.60
-46,-50.80
-45,-49.00
-44,-47.20
-43,-45.40
-42,-43.60
-41,-41.80
-40,-40.00
-39,-38.20
-38,-36.40
-37,-34.60
-36,-32.80
-35,-31.00
-34,-29.20
-33,-27.40
-32,-25.60
-31,-23.80
-30,-22.00
-29,-20.20
-28,-18.40
-27,-16.60
-26,-14.80
-25,-13.00
-24,-11.20
-23,-9.40
-22,-7.60
-21,-5.80
-20,-4.00
-19,-2.20
-18,-0.40
-17,1.40
-16,3.20
-15,5.00
-14,6.80
-13,8.60
-12,10.40
-11,12.20
-10,14.00
-9,15.80
-8,17.60
-7,19.40
-6,21.20
-5,23.00
-4,24.80
-3,26.60
-2,28.40
-1,30.20
0,32.00
1,33.80
2,35.60
3,37.40
4,39.20
5,41.00
6,42.80
7,44.60
8,46.40
9,48.20
10,50.00
11,51.80
12,53.60
13,55.40
14,57.20
15,59.00
16,60.80
17,62.60
18,64.40
19,66.20
20,68.00
21,69.80
22,71.60
23,73.40
24,75.20
25,77.00
26,78.80
27,80.60
28,82.40
29,84.20
30,86.00
31,87.80
32,89.60
33,91.40
34,93.20
35,95.00
36,96.80
37,98.60
38,100.40
39,102.20
40,104.00
41,105.80
42,107.60
43,109.40
44,111.20
45,113.00
46,114.80
47,116.60
48,118.40
49,120.20
50,122.00
51,123.80
52,125.60
53,127.40
54,129.20
55,131.00
56,132.80
57,134.60
58,136.40
59,138.20
60,140.00
61,141.80
62,143.60
63,145.40
64,147.20
65,149.00
66,150.80
67,152.60
68,154.40
69,156.20
70,158.00
71,159.80
72,161.60
73,163.40
74,165.20
75,167.00
76,168.80
77,170.60
78,172.40
79,174.20
80,176.00
81,177.80
82,179.60
83,181.40
84,183.20
85,185.00
86,186.80
87,188.60
88,190.40
89,192.20
90,194.00
91,195.80
92,197.60
93,199.40
94,201.20
95,203.00
96,204.80
97,206.60
98,208.40
99,210.20
100,212.00
101,213.80
102,215.60
103,217.40
104,219.20
105,221.00
106,222.80
107,224.60
108,226.40
109,228.20
110,230.00
111,231.80
112,233.60
113,235.40
114,237.20
115,239.00
116,240.80
117,242.60
118,244.40
119,246.20
120,248.00
121,249.80
122,251.60
123,253.40
124,255.20
125,257.00
126,258.80
127,260.60
128,262.40
129,264.20
130,266.00
131,267.80
132,269.60
133,271.40
134,273.20
135,275.00
136,276.80
137,278.60
138,280.40
139,282.20
140,284.00
141,285.80
142,287.60
143,289.40
144,291.20
145,293.00
146,294.80
147,296.60
148,298.40
149,300.20
150,302.00
