Fahrenheit,Celsius
-150,-101.11
-149,-100.56
-148,-100.00
-147,-99.44
-146,-98.89
-145,-98.33
-144,-97.78
-143,-97.22
-142,-96.67
-141,-96.11
-140,-95.56
-139,-95.00
-138,-94.44
-137,-93.89
-136,-93.33
-135,-92.78
-134,-92.22
-133,-91.67
-132,-91.11
-131,-90.56
-130,-90.00
-129,-89.44
-128,-88.89
-127,-88.33
-126,-87.78
-125,-87.22
-124,-86.67
-123,-86.11
-122,-85.56
-121,-85.00
-120,-84.44
-119,-83.89
-118,-83.33
-117,-82.78
-116,-82.22
-115,-81.67
-114,-81.11
-113,-80.56
-112,-80.00
-111,-79.44
-110,-78.89
-109,-78.33
-108,-77.78
-107,-77.22
-106,-76.67
-105,-76.11
-104,-75.56
-103,-75.00
-102,-74.44
-101,-73.89
-100,-73.33
-99,-72.78
-98,-72.22
-97,-71.67
-96,-71.11
-95,-70.56
-94,-70.00
-93,-69.44
-92,-68.89
-91,-68.33
-90,-67.78
-89,-67.22
-88,-66.67
-87,-66.11
-86,-65.56
-85,-65.00
-84,-64.44
-83,-63.89
-82,-63.33
-81,-62.78
-80,-62.22
-79,-61.67
-78,-61.11
-77,-60.56
-76,-60.00
-75,-59.44
-74,-58.89
-73,-58.33
-72,-57.78
-71,-57.22
-70,-56.67
-69,-56.11
-68,-55.56
-67,-55.00
-66,-54.44
-65,-53.89
-64,-53.33
-63,-52.78
-62,-52.22
-61,-51.67
-60,-51.11
-59,-50.56
-58,-50.00
-57,-49.44
-56,-48.89
-55,-48.33
-54,-47.78
-53,-47.22
-52,-46.67
-51,-46.11
-50,-45.56
-49,-45.00
-48,-44.44
-47,-43.89
-46,-43.33
-45,-42.78
-44,-42.22
-43,-41.67
-42,-41.11
-41,-40.56
-40,-40.00
-39,-39.44
-38,-38.89
-37,-38.33
-36,-37.78
-35,-37.22
-34,-36.67
-33,-36.11
-32,-35.56
-31,-35.00
-30,-34.44
-29,-33.89
-28,-33.33
-27,-32.78
-26,-32.22
-25,-31.67
-24,-31.11
-23,-30.56
-22,-30.00
-21,-29.44
-20,-28.89
-19,-28.33
-18,-27.78
-17,-27.22
-16,-26.67
-15,-26.11
-14,-25.56
-13,-25.00
-12,-24.44
-11,-23.89
-10,-23.33
-9,-22.78
-8,-22.22
-7,-21.67
-6,-21.11
-5,-20.56
-4,-20.00
-3,-19.44
-2,-18.89
-1,-18.33
0,-17.78
1,-17.22
2,-16.67
3,-16.11
4,-15.56
5,-15.00
6,-14.44
7,-13.89
8,-13.33
9,-12.78
10,-12.22
11,-11.67
12,-11.11
13,-10.56
14,-10.00
15,-9.44
16,-8.89
17,-8.33
18,-7.78
19,-7.22
20,-6.67
21,-6.11
22,-5.56
23,-5.00
24,-4.44
25,-3.89
26,-3.33
27,-2.78
28,-2.22
29,-1.67
30,-1.11
31,-0.56
32,0.00
33,0.56
34,1.11
35,1.67
36,2.22
37,2.78
38,3.33
39,3.89
40,4.44
41,5.00
42,5.56
43,6.11
44,6.67
45,7.22
46,7.78
47,8.33
48,8.89
49,9.44
50,10.00
51,10.56
52,11.11
53,11.67
54,12.22
55,12.78
56,13.33
57,13.89
58,14.44
59,15.00
60,15.56
61,16.11
62,16.67
63,17.22
64,17.78
65,18.33
66,18.89
67,19.44
68,20.00
69,20.56
70,21.11
71,21.67
72,22.22
73,22.78
74,23.33
75,23.89
76,24.44
77,25.00
78,25.56
79,26.11
80,26.67
81,27.22
82,27.78
83,28.33
84,28.89
85,29.44
86,30.00
87,30.56
88,31.11
89,31.67
90,32.22
91,32.78
92,33.33
93,33.89
94,34.44
95,35.00
96,35.56
97,36.11
98,36.67
99,37.22
100,37.78
101,38.33
102,38.89
103,39.44
104,40.00
105,40.56
106,41.11
107,41.67
108,42.22
109,42.78
110,43.33
111,43.89
112,44.44
113,45.00
114,45.56
115,46.11
116,46.67
117,47.22
118,47.78
119,48.33
120,48.89
121,49.44
122,50.00
123,50.56
124,51.11
125,51.67
126,52.22
127,52.78
128,53.33
129,53.89
130,54.44
131,55.00
132,55.56
133,56.11
134,56.67
135,57.22
136,57.78
137,58.33
138,58.89
139,59.44
140,60.00
141,60.56
142,61.11
143,61.67
144,62.22
145,62.78
146,63.33
147,63.89
148,64.44
149,65.00
150,65.56
